site,country,pft,lat,lon,mat,map,elev
AR-SLu,Argentina,MF,-33.464800,-66.459800,484.000000,400.000000,484.000000
AR-Vir,Argentina,ENF,-28.239500,-56.188600,78.000000,78.000000,78.000000
AT-Neu,Austria,GRA,47.116700,11.317500,6.300000,852.000000,970.000000
AU-ASM,Australia,ENF,-22.283000,133.249000,592.000000,592.000000,592.000000
AU-Ade,Australia,WSA,-13.076900,131.117800,171.000000,171.000000,171.000000
AU-Cpr,Australia,SAV,-34.002100,140.589100,84.000000,84.000000,84.000000
AU-Cum,Australia,EBF,-33.613300,150.722500,124.000000,124.000000,124.000000
AU-DaP,Australia,GRA,-14.063300,131.318100,103.000000,103.000000,103.000000
AU-DaS,Australia,SAV,-14.159300,131.388100,98.000000,98.000000,98.000000
AU-Dry,Australia,SAV,-15.258800,132.370600,191.000000,191.000000,191.000000
AU-Emr,Australia,GRA,-23.858700,148.474600,181.000000,181.000000,181.000000
AU-Fog,Australia,WET,-12.545200,131.307200,27.000000,27.000000,27.000000
AU-GWW,Australia,SAV,-30.191300,120.654100,505.000000,505.000000,505.000000
AU-Gin,Australia,WSA,-31.376400,115.713800,99.000000,99.000000,99.000000
AU-How,Australia,WSA,-12.494300,131.152300,41.000000,41.000000,41.000000
AU-Lox,Australia,DBF,-34.470400,140.655100,57.000000,57.000000,57.000000
AU-RDF,Australia,WSA,-14.563600,132.477600,233.000000,233.000000,233.000000
AU-Rig,Australia,GRA,-36.649900,145.575900,127.000000,127.000000,127.000000
AU-Rob,Australia,EBF,-17.117500,145.630100,667.000000,667.000000,667.000000
AU-Stp,Australia,GRA,-17.150700,133.350200,253.000000,253.000000,253.000000
AU-TTE,Australia,OSH,-22.287000,133.640000,627.000000,627.000000,627.000000
AU-Tum,Australia,EBF,-35.656600,148.151700,914.000000,914.000000,914.000000
AU-Wac,Australia,EBF,-37.425900,145.187800,562.000000,562.000000,562.000000
AU-Whr,Australia,EBF,-36.673200,145.029400,152.000000,152.000000,152.000000
AU-Wom,Australia,EBF,-37.422200,144.094400,608.000000,608.000000,705.000000
AU-Ync,Australia,GRA,-34.989300,146.290700,120.000000,120.000000,120.000000
BE-Bra,Belgium,MF,51.309200,4.520600,9.800000,750.000000,16.000000
BE-Lon,Belgium,CRO,50.551600,4.746100,10.000000,800.000000,167.000000
BE-Vie,Belgium,MF,50.305100,5.998100,7.800000,1062.000000,493.000000
BR-Sa1,Brazil,EBF,-2.856700,-54.958900,26.130000,2075.000000,88.000000
BR-Sa3,Brazil,EBF,-3.018000,-54.971400,26.120000,2044.000000,100.000000
CA-Gro,Canada,MF,48.216700,-82.155600,1.300000,831.000000,340.000000
CA-Man,Canada,ENF,55.879600,-98.480800,-3.200000,520.000000,259.000000
CA-NS1,Canada,ENF,55.879200,-98.483900,-2.890000,500.000000,260.000000
CA-NS2,Canada,ENF,55.905800,-98.524700,-2.880000,500.000000,260.000000
CA-NS3,Canada,ENF,55.911700,-98.382200,-2.870000,502.000000,260.000000
CA-NS4,Canada,ENF,55.911700,-98.382200,-2.870000,502.000000,260.000000
CA-NS5,Canada,ENF,55.863100,-98.485000,-2.860000,500.000000,260.000000
CA-NS6,Canada,OSH,55.916700,-98.964400,-3.080000,495.000000,244.000000
CA-NS7,Canada,OSH,56.635800,-99.948300,-3.520000,483.000000,297.000000
CA-Oas,Canada,DBF,53.628900,-106.197800,0.340000,429.000000,530.000000
CA-Obs,Canada,ENF,53.987200,-105.117800,0.790000,406.000000,628.940000
CA-Qfo,Canada,ENF,49.692500,-74.342100,-0.360000,962.000000,382.000000
CA-SF1,Canada,ENF,54.485000,-105.817600,0.400000,470.000000,536.000000
CA-SF2,Canada,ENF,54.253900,-105.877500,0.400000,470.000000,520.000000
CA-SF3,Canada,OSH,54.091600,-106.005300,0.400000,470.000000,540.000000
CA-TP1,Canada,ENF,42.660900,-80.559500,8.000000,1036.000000,265.000000
CA-TP2,Canada,ENF,42.774400,-80.458800,8.000000,1036.000000,212.000000
CA-TP3,Canada,ENF,42.706800,-80.348300,8.000000,1036.000000,184.000000
CA-TP4,Canada,ENF,42.710200,-80.357400,8.000000,1036.000000,184.000000
CA-TPD,Canada,DBF,42.635300,-80.557700,8.000000,1036.000000,260.000000
CG-Tch,Republic of Congo,SAV,-4.289200,11.656400,25.700000,1150.000000,82.000000
CH-Cha,Switzerland,GRA,47.210200,8.410400,9.500000,1136.000000,393.000000
CH-Dav,Switzerland,ENF,46.815300,9.855900,2.800000,1062.000000,1639.000000
CH-Fru,Switzerland,GRA,47.115800,8.537800,7.200000,1651.000000,982.000000
CH-Lae,Switzerland,MF,47.478100,8.365000,8.300000,1100.000000,689.000000
CH-Oe1,Switzerland,GRA,47.285800,7.731900,9.000000,1100.000000,450.000000
CH-Oe2,Switzerland,CRO,47.286300,7.734300,9.000000,1100.000000,452.000000
CN-Cha,China,MF,42.402500,128.095800,751.000000,751.000000,751.000000
CN-Cng,China,GRA,44.593400,123.509200,127.000000,127.000000,127.000000
CN-Dan,China,GRA,30.497800,91.066400,4323.000000,4323.000000,4323.000000
CN-Din,China,EBF,23.173300,112.536100,321.000000,321.000000,321.000000
CN-Du2,China,GRA,42.046700,116.283600,1333.000000,1333.000000,1333.000000
CN-Du3,China,GRA,42.055100,116.280900,1316.000000,1316.000000,1316.000000
CN-Ha2,China,WET,37.608600,101.326900,3197.000000,3197.000000,3197.000000
CN-HaM,China,GRA,37.370000,101.180000,3982.000000,3982.000000,3982.000000
CN-Qia,China,ENF,26.741400,115.058100,84.000000,84.000000,84.000000
CN-Sw2,China,GRA,41.790200,111.897100,1450.000000,1450.000000,1450.000000
CZ-BK1,Czech Republic,ENF,49.502100,18.536900,6.700000,1316.000000,875.000000
CZ-BK2,Czech Republic,GRA,49.494400,18.542900,6.700000,1316.000000,855.000000
CZ-wet,Czech Republic,WET,49.024700,14.770400,7.600000,614.000000,426.000000
DE-Akm,Germany,WET,53.866200,13.683400,2.000000,2.000000,-1.000000
DE-Geb,Germany,CRO,51.100100,10.914300,8.500000,470.000000,161.500000
DE-Gri,Germany,GRA,50.949500,13.512500,7.200000,853.000000,385.000000
DE-Hai,Germany,DBF,51.079200,10.453000,8.300000,720.000000,430.000000
DE-Kli,Germany,CRO,50.892900,13.522500,9.000000,750.000000,478.000000
DE-Lkb,Germany,ENF,49.099600,13.304700,4.000000,1599.000000,1308.000000
DE-Lnf,Germany,DBF,51.328200,10.367800,457.000000,457.000000,451.000000
DE-Obe,Germany,ENF,50.783600,13.719600,5.500000,996.000000,735.000000
DE-RuR,Germany,GRA,50.621900,6.304100,7.700000,1033.000000,514.700000
DE-RuS,Germany,CRO,50.865820,6.447220,10.000000,700.000000,102.866000
DE-Seh,Germany,CRO,50.870600,6.449700,9.900000,693.000000,103.000000
DE-SfN,Germany,WET,47.806400,11.327500,8.600000,1127.000000,590.000000
DE-Spw,Germany,WET,51.892300,14.033700,51.000000,51.000000,63.000000
DE-Tha,Germany,ENF,50.963600,13.566900,7.700000,820.000000,380.000000
DE-Zrk,Germany,WET,53.875900,12.889000,8.700000,584.000000,0.000000
DK-Eng,Denmark,GRA,55.690500,12.191800,8.000000,613.000000,10.000000
DK-Fou,Denmark,CRO,56.484200,9.587200,8.000000,52.000000,51.000000
DK-NuF,Denmark,WET,64.130800,-51.386100,-1.400000,750.000000,50.000000
DK-Sor,Denmark,DBF,55.485900,11.644600,8.200000,660.000000,40.000000
DK-ZaF,Denmark,WET,74.481400,-20.554500,-9.000000,211.000000,38.000000
DK-ZaH,Denmark,GRA,74.473200,-20.550300,-9.000000,211.000000,38.000000
ES-Amo,Spain,OSH,36.833600,-2.252300,57.000000,0.000000,58.000000
ES-LJu,Spain,OSH,36.926600,-2.752100,16.000000,400.000000,1600.000000
ES-LgS,Spain,OSH,37.097900,-2.965800,2300.000000,2300.000000,2267.000000
ES-Ln2,Spain,OSH,36.969500,-3.475800,2186.000000,2186.000000,2249.000000
FI-Hyy,Finland,ENF,61.847500,24.295000,3.800000,709.000000,181.000000
FI-Jok,Finland,CRO,60.898600,23.513500,4.600000,627.000000,109.000000
FI-Let,Finland,ENF,60.641800,23.959700,107.000000,107.000000,119.000000
FI-Lom,Finland,WET,67.997200,24.209200,-1.400000,484.000000,274.000000
FI-Sod,Finland,ENF,67.361900,26.637800,-1.000000,500.000000,180.000000
FR-Fon,France,DBF,48.476400,2.780100,10.200000,720.000000,103.000000
FR-Gri,France,CRO,48.844200,1.951900,12.000000,650.000000,125.000000
